{x=864,m=2222,a=195,s=384}
{x=901,m=448,a=737,s=1768}
{x=2926,m=108,a=66,s=710}
{x=447,m=2075,a=739,s=2}
{x=597,m=681,a=975,s=28}
{x=2159,m=1819,a=2019,s=618}
{x=384,m=15,a=1695,s=142}
{x=76,m=739,a=729,s=42}
{x=1070,m=3064,a=2917,s=2856}
{x=1584,m=1118,a=1134,s=1906}
{x=23,m=7,a=309,s=260}
{x=987,m=52,a=513,s=2353}
{x=2128,m=133,a=1707,s=2272}
{x=1721,m=9,a=10,s=2757}
{x=56,m=1928,a=2447,s=651}
{x=358,m=1514,a=208,s=2003}
{x=991,m=160,a=1850,s=29}
{x=135,m=900,a=257,s=1885}
{x=1594,m=1262,a=292,s=773}
{x=958,m=762,a=1835,s=129}
{x=204,m=851,a=781,s=51}
{x=393,m=77,a=65,s=1317}
{x=102,m=2858,a=694,s=133}
{x=1558,m=357,a=508,s=289}
{x=185,m=111,a=305,s=2389}
{x=877,m=2013,a=2980,s=2509}
{x=2494,m=1224,a=54,s=939}
{x=336,m=1421,a=2434,s=2183}
{x=375,m=713,a=2313,s=459}
{x=2899,m=54,a=334,s=1951}
{x=452,m=585,a=16,s=531}
{x=220,m=566,a=192,s=346}
{x=1556,m=1173,a=7,s=611}
{x=793,m=1179,a=549,s=16}
{x=2730,m=545,a=888,s=2861}
{x=8,m=136,a=1607,s=40}
{x=641,m=2099,a=2295,s=745}
{x=2342,m=100,a=1010,s=1306}
{x=3432,m=432,a=658,s=645}
{x=121,m=1563,a=1172,s=1807}
{x=60,m=1124,a=859,s=595}
{x=39,m=2653,a=1212,s=295}
{x=1810,m=2143,a=250,s=899}
{x=1049,m=1680,a=2472,s=66}
{x=1305,m=645,a=1311,s=18}
{x=32,m=1575,a=933,s=88}
{x=2066,m=2204,a=2147,s=48}
{x=806,m=263,a=862,s=406}
{x=1218,m=142,a=2380,s=2080}
{x=199,m=1608,a=815,s=504}
{x=1355,m=844,a=312,s=186}
{x=409,m=1271,a=2737,s=620}
{x=652,m=409,a=315,s=1051}
{x=2044,m=149,a=2045,s=3394}
{x=1787,m=496,a=142,s=313}
{x=70,m=78,a=953,s=872}
{x=1072,m=1733,a=541,s=115}
{x=254,m=302,a=1483,s=1537}
{x=239,m=1242,a=929,s=15}
{x=517,m=932,a=1899,s=844}
{x=2926,m=364,a=595,s=1294}
{x=1358,m=68,a=34,s=1728}
{x=2065,m=312,a=3623,s=181}
{x=414,m=451,a=876,s=80}
{x=1689,m=843,a=139,s=245}
{x=1136,m=289,a=2256,s=2537}
{x=99,m=1094,a=980,s=382}
{x=1610,m=751,a=456,s=143}
{x=717,m=113,a=530,s=502}
{x=2050,m=1025,a=431,s=48}
{x=3411,m=87,a=306,s=2865}
{x=1894,m=19,a=46,s=3399}
{x=574,m=1848,a=599,s=1924}
{x=3,m=1021,a=26,s=1166}
{x=776,m=1882,a=1946,s=453}
{x=1170,m=381,a=957,s=601}
{x=1703,m=200,a=298,s=1246}
{x=117,m=43,a=286,s=1131}
{x=2642,m=18,a=552,s=8}
{x=333,m=458,a=518,s=1260}
{x=2391,m=794,a=1032,s=1156}
{x=1439,m=629,a=1737,s=268}
{x=70,m=465,a=603,s=1399}
{x=312,m=648,a=875,s=785}
{x=3106,m=348,a=45,s=198}
{x=2991,m=18,a=1424,s=436}
{x=397,m=1490,a=520,s=53}
{x=553,m=232,a=2916,s=781}
{x=1404,m=738,a=925,s=513}
{x=757,m=619,a=442,s=43}
{x=1747,m=924,a=11,s=430}
{x=3644,m=201,a=693,s=33}
{x=336,m=141,a=1473,s=2008}
{x=1723,m=1595,a=91,s=282}
{x=768,m=426,a=895,s=573}
{x=312,m=604,a=12,s=361}
{x=2900,m=23,a=748,s=578}
{x=1100,m=116,a=2804,s=2407}
{x=121,m=94,a=937,s=514}
{x=61,m=2592,a=1518,s=855}
{x=356,m=64,a=1167,s=732}
{x=1538,m=702,a=444,s=524}
{x=1071,m=230,a=1273,s=954}
{x=1538,m=1389,a=963,s=681}
{x=3560,m=407,a=606,s=1015}
{x=276,m=534,a=14,s=2920}
{x=122,m=1529,a=3159,s=302}
{x=764,m=529,a=1535,s=1743}
{x=1015,m=491,a=1323,s=1241}
{x=831,m=1667,a=2553,s=146}
{x=841,m=203,a=2621,s=696}
{x=1586,m=403,a=1308,s=1892}
{x=2119,m=47,a=446,s=124}
{x=2321,m=2184,a=309,s=735}
{x=44,m=99,a=2037,s=1730}
{x=917,m=192,a=31,s=1104}
{x=1135,m=2330,a=2073,s=1651}
{x=1149,m=907,a=51,s=79}
{x=299,m=330,a=2588,s=1829}
{x=203,m=1847,a=205,s=696}
{x=418,m=498,a=1030,s=307}
{x=1560,m=1398,a=54,s=723}
{x=1232,m=39,a=216,s=648}
{x=1449,m=527,a=2553,s=39}
{x=2579,m=154,a=208,s=1099}
{x=213,m=1557,a=2636,s=202}
{x=1787,m=1475,a=1407,s=1761}
{x=1057,m=33,a=29,s=1488}
{x=46,m=2348,a=2573,s=1457}
{x=2080,m=352,a=247,s=97}
{x=166,m=10,a=938,s=1203}
{x=375,m=3545,a=21,s=2507}
{x=1525,m=1748,a=63,s=511}
{x=4,m=712,a=1182,s=2085}
{x=460,m=996,a=1,s=2354}
{x=538,m=1452,a=1066,s=2980}
{x=328,m=488,a=2291,s=1542}
{x=787,m=2124,a=649,s=281}
{x=890,m=17,a=1812,s=99}
{x=950,m=308,a=67,s=87}
{x=792,m=500,a=64,s=546}
{x=194,m=524,a=849,s=1060}
{x=24,m=492,a=1727,s=1628}
{x=3080,m=427,a=11,s=300}
{x=910,m=2320,a=2178,s=225}
{x=100,m=586,a=2247,s=1402}
{x=1277,m=400,a=1053,s=11}
{x=442,m=450,a=1063,s=1664}
{x=1360,m=658,a=1705,s=306}
{x=60,m=1215,a=1012,s=2971}
{x=37,m=973,a=1351,s=2900}
{x=755,m=1798,a=41,s=1999}
{x=456,m=565,a=13,s=18}
{x=1068,m=108,a=1261,s=216}
{x=179,m=559,a=1871,s=1357}
{x=760,m=1634,a=1753,s=502}
{x=33,m=466,a=1114,s=112}
{x=443,m=1297,a=280,s=1777}
{x=2608,m=1971,a=651,s=2930}
{x=244,m=1227,a=1578,s=15}
{x=1063,m=635,a=2276,s=331}
{x=321,m=1326,a=2474,s=359}
{x=1412,m=186,a=2378,s=750}
{x=1007,m=463,a=211,s=520}
{x=2193,m=158,a=1966,s=952}
{x=1047,m=348,a=37,s=88}
{x=3034,m=1692,a=248,s=1957}
{x=508,m=1601,a=213,s=712}
{x=640,m=386,a=1410,s=2062}
{x=683,m=855,a=503,s=3485}
{x=574,m=28,a=978,s=287}
{x=4,m=1189,a=20,s=330}
{x=1716,m=1734,a=166,s=547}
{x=903,m=1023,a=220,s=2002}
{x=2105,m=2151,a=753,s=216}
{x=357,m=1260,a=242,s=32}
{x=382,m=1261,a=3644,s=2198}
{x=451,m=1290,a=1901,s=446}
{x=510,m=391,a=1064,s=1313}
{x=1279,m=40,a=1825,s=946}
{x=21,m=1879,a=1728,s=429}
{x=50,m=183,a=1799,s=895}
{x=2200,m=2092,a=827,s=1450}
{x=230,m=1800,a=1178,s=1276}
{x=747,m=1987,a=838,s=1589}
{x=2113,m=613,a=727,s=26}
{x=34,m=305,a=1750,s=1402}
{x=394,m=3102,a=229,s=339}
{x=247,m=1734,a=102,s=847}
{x=819,m=1651,a=3293,s=1663}
{x=459,m=2156,a=175,s=296}
{x=1194,m=2195,a=324,s=297}
{x=510,m=47,a=9,s=1406}
{x=478,m=18,a=114,s=643}
{x=278,m=2041,a=185,s=237}
{x=2208,m=263,a=252,s=70}
{x=22,m=956,a=1030,s=240}
{x=164,m=466,a=3598,s=1158}
{x=2901,m=267,a=108,s=455}
{x=569,m=1421,a=1176,s=1237}
